City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Kavaratti,IN,2022-01-25 02:21:07,10.5669,72.642,77.56,59,100,8.95
233,Kapit,MY,2022-01-25 02:21:07,2.0167,112.9333,81.91,75,93,0.96
234,Brownsville,US,2022-01-25 02:22:08,25.9018,-97.4975,53.98,91,75,1.01
235,Port Macquarie,AU,2022-01-25 02:20:13,-31.4333,152.9167,77.9,62,100,5.7
236,Samarai,PG,2022-01-25 02:22:08,-10.6167,150.6667,87.06,67,99,6.15
237,Lagoa,PT,2022-01-25 02:22:08,39.05,-27.9833,58.55,69,100,9.55
238,Port Keats,AU,2022-01-25 02:22:09,-14.25,129.55,78.19,88,100,5.12
239,Provideniya,RU,2022-01-25 02:22:09,64.3833,-173.3,5.11,72,100,11.18
240,Ambon,ID,2022-01-25 02:22:09,-3.6954,128.1814,89.74,70,20,5.75
241,Nishihara,JP,2022-01-25 02:22:10,26.1842,127.7558,69.08,64,20,12.66
242,Muisne,EC,2022-01-25 02:22:10,0.6,-80.0333,76.53,89,100,6.4
243,Santa Maria Da Vitoria,BR,2022-01-25 02:22:11,-13.3947,-44.1886,73.78,80,99,1.97
244,Gravdal,NO,2022-01-25 02:22:11,68.1214,13.5031,33.58,64,100,30.96
245,Ust-Tarka,RU,2022-01-25 02:22:11,55.5672,75.705,5.34,91,100,8.63
246,Torbay,CA,2022-01-25 02:22:11,47.6666,-52.7314,33.58,95,100,27.63
247,Taltal,CL,2022-01-25 02:22:12,-25.4,-70.4833,65.57,83,36,1.68
248,Tome,CL,2022-01-25 02:22:12,-36.6167,-72.95,61.41,80,0,7.43
249,Barra Patuca,HN,2022-01-25 02:22:13,15.8,-84.2833,75.42,84,1,8.48
250,Boissevain,CA,2022-01-25 02:22:13,49.2306,-100.0559,-8.9,95,13,9.1
251,Shubarkuduk,KZ,2022-01-25 02:22:13,49.1447,56.4872,-0.31,98,83,7.47
252,Koutiala,ML,2022-01-25 02:22:14,12.3917,-5.4642,68.5,13,51,9.08
253,Malatap,PH,2022-01-25 02:22:14,14.1871,122.5119,80.1,75,100,11.9
254,Porto Novo,BJ,2022-01-25 02:22:14,6.4965,2.6036,76.82,80,3,2.53
255,Hofn,IS,2022-01-25 02:22:15,64.2539,-15.2082,39.74,96,100,18.14
256,Pathein,MM,2022-01-25 02:22:15,16.7833,94.7333,75.07,59,0,4.45
257,Los Llanos De Aridane,ES,2022-01-25 02:22:15,28.6585,-17.9182,60.55,81,75,1.01
258,Tingo Maria,PE,2022-01-25 02:22:16,-9.2895,-76.0088,70.29,98,100,1.77
259,Tongliao,CN,2022-01-25 02:22:16,43.6125,122.2653,10.74,81,49,4.12
