City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Lorengau,PG,82.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
280,Visby,SE,25.02,broken clouds,57.6409,18.296,Best Western Solhem Hotel Visby
281,Praia Da Vitoria,PT,59.76,broken clouds,38.7333,-27.0667,Hotel Branco I
282,Hobyo,SO,75.78,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
283,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
284,Mamallapuram,IN,79.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
285,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
286,San Vicente,AR,88.23,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
287,Cururupu,BR,76.33,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
288,Glendive,US,17.53,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
289,Atherton,GB,42.69,overcast clouds,53.5237,-2.4935,The Lion Inn
290,Halifax,CA,39.2,broken clouds,44.6453,-63.5724,Hotel Halifax
291,Umm Lajj,SA,63.54,clear sky,25.0213,37.2685,Moon light Furnished Units
292,Marsh Harbour,BS,69.35,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
293,Sitka,US,39.09,broken clouds,57.0531,-135.33,Westmark Sitka
296,Griffith,US,14.11,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
298,Mao,ES,43.36,clear sky,39.8885,4.2658,ARTIEM Capri
299,Haines Junction,CA,31.95,broken clouds,60.7522,-137.5108,Parkside Inn
301,Betare Oya,CM,71.47,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
302,Mayskiy,RU,24.44,overcast clouds,47.6931,40.1025,Dio Lakrua
304,Candolim,IN,68.0,clear sky,15.5181,73.7626,Resort Terra Paraiso
305,Lively,CA,0.41,overcast clouds,46.4334,-81.1498,Lively Inn and Suites - Sudbury
307,Aksu,CN,21.36,few clouds,41.1231,80.2644,Pudong Holiday Hotel
308,Hambantota,LK,72.23,overcast clouds,6.1241,81.1185,Bungalow 63
310,Fairbanks,US,21.16,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
311,Milas,TR,31.35,clear sky,37.3164,27.7839,Milashan Hotel
312,Beian,NO,36.01,moderate rain,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
313,Muros,ES,48.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
314,Kieta,PG,82.67,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
315,Tooele,US,38.32,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
316,Tshikapa,CD,71.28,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
317,Torbay,CA,29.57,broken clouds,47.6666,-52.7314,Gallows Cove
318,Jieshi,CN,64.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
319,Santa Fe,AR,80.02,overcast clouds,-31.6333,-60.7,Conquistador Hotel
321,Asilah,MA,58.96,overcast clouds,35.465,-6.0348,Hotel Zelis
322,Portland,US,55.45,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
326,Bilma,NE,58.91,clear sky,18.6853,12.9164,Expeditions Ténére voyages
328,Hualmay,PE,74.25,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
329,Constitucion,CL,65.43,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
330,Ahipara,NZ,74.23,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
331,Port Macquarie,AU,73.36,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
332,Shingu,JP,40.84,clear sky,33.7333,135.9833,Shingu UI Hotel
333,Tabou,CI,78.71,clear sky,4.423,-7.3528,hotêl doufoulougou
334,Mogadouro,PT,34.79,clear sky,41.3403,-6.7119,Pensão Russo
335,Huambo,AO,61.93,broken clouds,-12.7761,15.7392,SiSHotel
336,Tonstad,NO,43.93,light rain,58.6626,6.7169,"Tonstadli Ferie, Kurs og Misjonssenter"
337,Puerto El Triunfo,SV,86.16,few clouds,13.2833,-88.55,Hotel Jardin
338,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
340,Merke,KZ,28.45,overcast clouds,42.8728,73.1786,Gostinitsa Merki
341,Ziyang,CN,46.35,overcast clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
342,Port-Cartier,CA,7.75,overcast clouds,50.0334,-66.8654,Le Q'Artier
345,Byron Bay,AU,74.05,overcast clouds,-28.65,153.6167,Backpackers Inn
346,Santa Maria,BR,88.9,scattered clouds,-29.6842,-53.8069,Hotel Morotin
347,Eyl,SO,71.62,clear sky,7.9803,49.8164,Amiin Hotel
349,Koprivstica,RS,13.77,broken clouds,43.2349,22.6205,"Zavojsko jezero smeštaj - Kuća ""Pepa"""
350,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
352,Maragogi,BR,80.13,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
353,Emporia,US,28.6,clear sky,38.4039,-96.1817,Candlewood Suites Emporia
354,Bairiki,KI,82.17,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
355,Riyadh,SA,57.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
356,Miquelon,PM,30.2,overcast clouds,47.0975,-56.3814,Island Inn
357,Bolobo,CD,73.18,light rain,-2.1667,16.2333,Hotel de Stephen
358,Scarborough,GB,39.07,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
360,Xining,CN,18.34,overcast clouds,36.6167,101.7667,Super Leisure Hotel
361,La Ronge,CA,8.85,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
363,Jinchang,CN,18.91,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
364,San Luis,AR,84.87,broken clouds,-33.295,-66.3356,Huarpes Hotel
365,Cockburn Town,TC,76.93,clear sky,21.4612,-71.1419,Osprey Beach Hotel
366,Wellington,NZ,73.06,light rain,-41.2866,174.7756,CityLife Wellington
367,Coari,BR,77.72,moderate rain,-4.085,-63.1414,HOTEL ALEX FLAT
368,Srivardhan,IN,64.15,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
