City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Mosalsk,RU,54.4881,34.9817,17.37,96,100,6.06,light snow
224,Gorlice,PL,49.6556,21.1604,36.21,98,100,9.64,light snow
225,Saint-Francois,FR,46.4154,3.9054,27.68,93,0,0.0,mist
226,Kiknur,RU,57.3034,47.2011,6.12,94,86,7.78,overcast clouds
227,Broome,US,42.2506,-75.833,25.02,75,100,5.99,overcast clouds
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.57,86,1,10.65,clear sky
229,Salinopolis,BR,-0.6136,-47.3561,77.97,84,99,9.44,light rain
230,Okhotsk,RU,59.3833,143.3,-5.91,99,99,5.7,overcast clouds
231,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-3.23,71,0,8.95,clear sky
232,Shalinskoye,RU,55.7228,93.7594,7.36,97,100,3.0,overcast clouds
233,Tanete,ID,-3.9443,119.7848,75.31,94,83,2.35,broken clouds
234,Maniitsoq,GL,65.4167,-52.9,19.06,91,100,21.23,snow
235,Neryungri,RU,56.6709,124.6491,-16.96,99,92,4.03,overcast clouds
236,Panaba,MX,21.2833,-88.2667,83.59,57,60,1.52,broken clouds
237,Mount Isa,AU,-20.7333,139.5,80.37,89,75,10.36,broken clouds
238,Makokou,GA,0.5738,12.8642,73.29,81,100,4.03,overcast clouds
239,Kruisfontein,ZA,-34.0033,24.7314,67.89,91,100,8.25,overcast clouds
240,Plerin,FR,48.5425,-2.7798,38.19,89,100,3.0,overcast clouds
241,Sigli,ID,5.3848,95.9609,77.18,85,64,3.22,broken clouds
242,Svetlyy,RU,54.675,20.1347,35.96,92,82,3.89,broken clouds
243,Half Moon Bay,US,37.4636,-122.4286,67.78,71,0,4.0,mist
244,Bethel,US,41.3712,-73.414,37.49,59,0,5.75,clear sky
245,Todos Santos,MX,23.45,-110.2167,76.1,46,28,8.5,scattered clouds
246,Port Elizabeth,ZA,-33.918,25.5701,70.11,88,100,11.5,overcast clouds
247,Igrim,RU,63.1906,64.4162,14.23,93,98,8.9,overcast clouds
248,Sur,OM,22.5667,59.5289,69.42,65,16,12.06,few clouds
249,Mwinilunga,ZM,-11.7358,24.4293,64.22,85,100,2.08,overcast clouds
250,Luderitz,NA,-26.6481,15.1594,76.42,58,6,21.21,clear sky
251,Viedma,AR,-40.8135,-62.9967,74.53,51,0,18.05,clear sky
252,Tual,ID,-5.6667,132.75,83.98,75,95,8.25,overcast clouds
253,Avera,US,33.194,-82.5271,59.38,63,83,6.24,broken clouds
254,North Bend,US,43.4065,-124.2243,64.31,65,0,10.36,clear sky
255,Jose Bonifacio,BR,-21.0528,-49.6883,87.06,65,93,6.33,overcast clouds
256,Laramie,US,41.3114,-105.5911,22.55,72,84,3.0,broken clouds
257,Kamenka,RU,51.3223,42.7678,12.74,98,94,6.38,overcast clouds
258,La Maddalena,IT,41.2142,9.4083,37.45,77,31,9.71,scattered clouds
259,Marana,US,32.4367,-111.2254,71.94,21,0,5.75,clear sky
260,Krasnoselkup,RU,65.7,82.4667,-12.28,98,29,11.86,scattered clouds
261,Mancio Lima,BR,-7.6142,-72.8958,80.67,83,75,2.3,broken clouds
262,Mahebourg,MU,-20.4081,57.7,77.29,69,40,11.5,scattered clouds
263,Karratha,AU,-20.7377,116.8463,81.37,76,0,6.73,clear sky
264,Taoudenni,ML,22.6783,-3.9836,71.4,18,93,9.73,overcast clouds
265,Chuy,UY,-33.6971,-53.4616,78.31,83,97,8.88,moderate rain
266,Walvis Bay,NA,-22.9575,14.5053,67.08,82,19,10.36,few clouds
267,Nizhniy Kuranakh,RU,58.8353,125.4869,-10.43,99,100,3.78,overcast clouds
268,Rivera,UY,-30.9053,-55.5508,73.8,96,96,14.54,light rain
269,Kumano,JP,34.3442,132.5894,38.35,76,79,4.18,broken clouds
270,Weyburn,CA,49.6668,-103.8511,-0.81,77,19,11.5,few clouds
271,Sakakah,SA,29.9697,40.2064,45.97,43,0,5.86,clear sky
272,Barra Do Garcas,BR,-15.89,-52.2567,78.48,81,27,4.41,scattered clouds
273,San Policarpo,PH,12.1791,125.5072,77.94,88,100,14.56,overcast clouds
274,Deputatskiy,RU,69.3,139.9,-31.02,99,35,5.57,scattered clouds
275,Shitkino,RU,56.3703,98.3543,6.08,98,100,2.33,overcast clouds
276,Ardon,RU,43.17,44.29,32.13,91,29,2.91,scattered clouds
277,Katsuura,JP,35.1333,140.3,42.19,92,99,15.79,overcast clouds
278,La Paz,BO,-16.5,-68.15,57.18,62,75,6.91,broken clouds
279,Lorengau,PG,-2.0226,147.2712,82.65,79,100,4.9,overcast clouds
280,Visby,SE,57.6409,18.296,25.02,93,76,3.44,broken clouds
281,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,94,75,8.81,broken clouds
282,Hobyo,SO,5.3505,48.5268,75.78,63,12,20.42,few clouds
283,Kununurra,AU,-15.7667,128.7333,76.98,94,100,6.91,overcast clouds
